cn	en	alt	pos	note	source	lock
编织线	braided leads				glossary-20260130	0
落地式	pad mounting type				glossary-20260130	0
装配图	Assembly drawing				glossary-20260130	0
观察窗	Inspection window				glossary-20260130	0
触头间	Between contact				semantic-glossary	0
计数器	Counter		名词		glossary-20260130	0
起吊环	Lifting ring				glossary-20260130	0
软连接	flexible lead	braided contact lead; braided leads		Workbook lists both; OS/letters use flexible lead.	os-lock	1
输出轴	Output shaft		名词		glossary-20260130	0
防爆盖	rupture disk				glossary-20260130	0
隔弧板	arcing chute				glossary-20260130	0
集电环	current take-off ring				glossary-20260130	0
静触头	fixed contact				glossary-20260130	0
项目号	Project No.				semantic-glossary	0
驱动侧	Drive side of tap selector				glossary-20260130	0
串联	be connected in series with				glossary-20260130	0
共  页	( ) pages in total				glossary-20260130	0
凸块	protruding tab				glossary-20260130	0
出轴	output shaft				glossary-20260130	0
卡箍	clamp				glossary-20260130	0
压板	counter piece	clamping plate			glossary-20260130	0
吊耳	Lifting lugs		名词		glossary-20260130	0
处数	Place several				glossary-20260130	0
头盖	head cover			OLTC head cover when the subject is the tap-changer.	os-lock	1
套管	bushing				glossary-20260130	0
审定	Approve				glossary-20260130	0
审核	Audit				glossary-20260130	0
对地	To ground				semantic-glossary	0
工艺	process				glossary-20260130	0
带槽	with groove				glossary-20260130	0
并联	be connected in parallel with				glossary-20260130	0
日期	Date				glossary-20260130	0
星点	star-point	neutral point; star point		Switch application, not transformer Dyn11.	os-lock	1
机座	frame				glossary-20260130	0
条形	Linear type				glossary-20260130	0
极性	polarity				glossary-20260130	0
标记	Mark pattern				glossary-20260130	0
校准	Calibrate		动词		glossary-20260130	0
校对	Proofreading				glossary-20260130	0
槽深	Groove depth				glossary-20260130	0
死点	dead positions				glossary-20260130	0
比例	Scale				glossary-20260130	0
油位	oil level				glossary-20260130	0
油室	oil compartment				glossary-20260130	0
油枕	liquid/oil conservator				glossary-20260130	0
油流	liquid flow				glossary-20260130	0
油箱	tank	transformer tank		Prefer transformer tank when the source is 变压器油箱.	os-lock	1
盘形	disc type				glossary-20260130	0
相间	Between phase				semantic-glossary	0
碳化	carbonization				glossary-20260130	0
磁路	magnetic circuit				glossary-20260130	0
空转	run without load				glossary-20260130	0
第  页	Page NO. ( )				glossary-20260130	0
笼型	cage type	cage			os-lock	1
笼式	cage type	cage		WSL / WDL.	os-lock	1
签字	Signature				glossary-20260130	0
箱门	Enclosure door		名词		glossary-20260130	0
粘性	viscosity				glossary-20260130	0
线端	line-end	line end			os-lock	1
螺柱	stud				glossary-20260130	0
螺栓	bolt				glossary-20260130	0
螺钉	screw				glossary-20260130	0
衬套	bushing				glossary-20260130	0
